"","plot","elev","slope_deg","exp","transect","management","elev.level","forest_500","temps09","temps19","tempw09","tempw19","tempy09","tempy19","year","spec.no","flow_cov","cov","cov_bare","cov_dung","cov_hl","cov_scree","cov_sl","hght_hl","hght_sl","chao","ab","ACE","comsc"
"1","H1",818,"2",15,"H","W","500","84.67",14.2468816044314,14.0887910660131,3.20312195025943,4.13085488948113,7.83242394228219,8.30500347854795,"2009",25,1.61,95.9,2.7,1.2,92.6,0,0,0.1365,0,40.125,125,30.775,1146.81750641037
"2","H2",985,"26.2",44,"H","W","500","81.84",13.6632264934248,13.6624760908497,2.75179097074528,3.71110171033019,7.32562558710137,7.88249973832877,"2009",27,4.02,95.4,4.1,0.2,91.2,0,0,0.139,0,33.125,169,29.1818181818182,1077.56640787052
"3","H3",1106,"27.6",33,"H","W","1000","73.85",13.1602506827386,13.2834442048366,2.34620307209434,3.3346099990566,6.87921481025479,7.50494324147945,"2009",17,2.42,96.2,3.6,0,85,0,0,0.153,0,23.125,81,22,1278.30137231273
"4","H4",1326,"13",65,"H","W","1000","89.80",12.2645261216797,12.5705616732026,1.57691454103774,2.61667773028302,6.05692706662192,6.78912771183562,"2009",23,2.22,93.2,0.5,0,89.1,0,0,0.2135,0,26.6,175,25.0769230769231,1369.76083635523
"5","H5",1580,"21.4",58,"H","N","1500","95.41",11.1348448317974,11.596511672549,0.52456739320283,1.61967516146226,4.97216314143562,5.80174635652055,"2009",14,4.39,95.8,0.4,0,90.8,0,0,0.132,0,16,304,14.6666666666667,1448.94445729743
"6","H6",1807,"27.3",98,"H","N","1500","45.57",9.83592887153595,10.3823055555556,-0.771621323872641,0.361727963584906,3.67483122379178,4.5621344610411,"2009",14,1.17,85.3,4.8,0,77.3,0,0.8,0.1225,0.15,16.6666666666667,229,15.5,1494.82024545923
"7","H7",1986,"31.4",69,"H","N","1500","3.04",8.79615626579739,9.35142271568627,-1.85294524065566,-0.713647021698113,2.61092470588493,3.50540960794521,"2009",10,1.02,87.2,2.9,0,83.6,5.2,0,0.0605,0,10,100,10.2162162162162,1561.89652647313
"8","HO1",828,"20.6",51,"HO","W","500","82.59",14.2148617734902,14.0656358973856,3.1787746465,4.10812935216981,7.80486048329315,8.28209784920548,"2009",28,4.07,94.7,2.4,0,90.6,0,0,0.3025,0,43.125,98,32.0135135135135,1013.22886179545
"9","HO2",1046,"9.4",131,"HO","W","1000","91.96",13.4075309220261,13.4714821254902,2.54781460049057,3.52183139193396,7.09996966129863,7.69250690490411,"2009",12,1.73,98.5,0.9,0,97.4,0,0,0.25,0,16.5,65,13.0384615384615,1323.99000836195
"10","HO3",1332,"8.4",82,"HO","N","1000","71.61",12.2424931519085,12.5523637078431,1.55722307285849,2.59819702661321,6.03625409229589,6.77076552586849,"2009",19,2.8,99.4,0.3,0,97,0,30.7,0.41,1.37,23,158,20.3333333333333,1375.74921383428
"11","HO4",1546,"26.7",120,"HO","N","1500","31.93",11.2806465750261,11.7267922454248,0.664897928316038,1.75380954026887,5.11478708707397,5.93426530434794,"2009",17,2.14,94.4,2.5,0,90.1,0,0,0.2025,0,18.5,214,17.7659574468085,1453.90108990858
"12","HO5",1821,"22.3",53,"HO","W","1500","0.61",9.74297867659477,10.2920497709804,-0.866998891490566,0.26778688429717,3.58047115759726,4.46973817652329,"2009",9,1.09,73.4,8.9,0,54.7,7,0,0.0355,0,15,39,12.1111111111111,1461.86830685285
"13","T1",716,"27.3",9,"T","M","500","30.18",14.6558166495098,14.3833297981046,3.51145723204245,4.4194888115566,8.18292843991233,8.59611256756164,"2009",15,10.44,94.4,4.6,0,94.3,0,0,0.61,0,15.25,112,15.2280701754386,1041.33006236838
"14","T3",663,"27.6",31,"T","M","500","50.40",14.802892207268,14.4889472247059,3.62166055464623,4.52287435806604,8.30858779533425,8.70043366928767,"2009",22,2.08,98.2,0.8,0,98.2,0,0,0.6475,0,23.3333333333333,119,23.2666666666667,911.766981525754
"15","T4",644,"22.8",46,"T","M","500","53.28",14.9148871284641,14.5693530751634,3.70553390155189,4.6015736034434,8.40424908981918,8.77984828610959,"2009",21,2.87,92.8,4.3,0,88.8,0,0,0.3205,0,23.6666666666667,153,21.8636363636364,976.652480598162
"16","T5",749,"15",62,"T","N","500","78.06",14.4802440463137,14.257093069281,3.37956100954245,4.29586314245283,8.03272403591507,8.47139239945206,"2009",21,1.68,98.2,0.6,0,98.2,0,0,0.555,0,29.1666666666667,164,23.7391304347826,936.470458616813
"17","W1",815,"6.7",66,"W","N","500","60.46",14.2610952714052,14.0990650267974,3.21391771800943,4.14093531283019,7.84465241847397,8.31516502854794,"2009",16,0.77,82.1,2.2,0,58.8,15.7,4.7,0.132,0.1,25,164,18,1295.77537719791
"18","W2",1016,"25.8",45,"W","N","1000","51.07",13.5999163579608,13.6154827039216,2.70168929686792,3.66461258580189,7.2699872156274,7.83579923805479,"2009",27,1.19,72.2,1.4,0,66.2,15.8,0,0.4315,0,67.5,220,31,1217.34398120063
"19","W3",1162,"7.7",106,"W","N","1000","66.73",12.9538676674706,13.1237308098039,2.1744433526934,3.17487472872642,6.69294176409315,7.34521714079452,"2009",15,2.27,95.6,1.9,0.1,85.7,0,0,0.2115,0,16.6,127,17,1296.19118890812
"20","W4",1235,"6.9",110,"W","N","1000","61.30",12.6547225990523,12.8874924607843,1.9196308013066,2.9373892159434,6.41954599323836,7.10825441172603,"2009",10,0.84,72.7,2.8,0,55,23.7,5.8,0.179,0.37,16,94,11.8461538461538,1361.85356816888
"21","W5",1446,"15.2",89,"W","N","1000","43.74",11.7127006363595,12.105069069281,1.07330689575,2.14203110150943,5.53310755962192,6.31831824964384,"2009",12,0.57,79.7,2.2,0.16,57.5,12.7,14.7,0.082,1.355,14,91,12.5,1441.11353371964
"22","W6",1805,"28.9",15,"W","N","1500","41.48",9.90517890679085,10.4492810509804,-0.700753623245283,0.431408591556604,3.74502083455068,4.63068115673973,"2009",20,1.62,91.4,5.6,0,88,0.5,0,0.15,0,21.5,241,20.8235294117647,1462.22989572386
"23","W7",2017,"16",15,"W","N","1500","22.33",8.56473907669935,9.11616304705882,-2.09725335633019,-0.959668911132075,2.37202018409041,3.26389900558904,"2009",16,0.74,85.3,0.7,0.01,80.5,0,0,0.1035,0,18.5,168,18.3076923076923,1544.8024980026
"24","WmA1",768,"16",92,"WM","W","500","87.23",14.3921153290196,14.1936185424837,3.31311501653302,4.23366200075472,7.95718912012329,8.40865748263014,"2009",20,2.2,96,1,0.1,85,0,0,0.26,0,24.1666666666667,105,21.7777777777778,1032.8973766406
"25","WmA2",1240,"12.7",87,"WM","W","1000","91.62",12.6505423577843,12.884150127451,1.91602061721226,2.93401920792453,6.41569685367123,7.10489600432877,"2009",19,2.33,94.6,4,0.7,87.2,0,0,0.156,0,21.5,136,20.6666666666667,1325.47312839554
"26","WmA3",1423,"17.6",124,"WM","W","1000","91.14",11.7879674488301,12.1697458385621,1.14324164426887,2.20820067542453,5.60527739248219,6.38386207257534,"2009",17,1.93,84,5.8,0,87.8,0,0,0.205,0,23.25,206,20.75,1471.50432946554
"27","WmA4",1770,"30.8",113,"WM","N","1500","72.53",9.99117483628105,10.532130430719,-0.61298385404717,0.517564838754717,3.83204704902192,4.71545123757808,"2009",12,1.09,95.2,2.8,0,88.4,0,0,0.301,0,12.1666666666667,170,12.2424242424242,1521.44646096524
"28","WmA5",2034,"30.1",50,"WM","N","1500","6.72",8.45116022107189,9.00000418562091,-2.2175495842783,-1.08120821556604,2.25453973138904,3.14461506493151,"2009",5,0.41,83.1,0.6,0,83.1,9.7,0,0.0375,0,5,47,5,1420.66453476856
"29","WmB1",962,"11.9",78,"WM","W","500","88.95",13.7150806529477,13.7008317235294,2.79263881201887,3.74900951081132,7.37108703575069,7.92059526025206,"2009",19,1.98,97,2.5,0,93.5,0,0,0.309,0,21.5,104,21.5,1145.91931615121
"30","WmB2",1139,"14.9",124,"WM","W","1000","87.16",13.0457982712941,13.1951955431373,2.25135301961792,3.24643127924528,6.77614787853973,7.41673520356164,"2009",16,2.1,97.3,2.1,0,88.5,0,0,0.297,0,20,106,17.3714285714286,1179.26612239924
"31","WmB3",1418,"11.3",30,"WM","W","1000","86.94",11.8578787446144,12.2294873300654,1.20785861983019,2.26926295099057,5.6721136310411,6.44437070441096,"2009",9,2.32,94,2.2,0.8,90.9,0,0,0.284,0,9,79,9.17948717948718,1390.81029884318
"32","WmB4",1654,"20",105,"WM","W","1500","61.35",10.6607349028431,11.1641146594771,0.0603590358679245,1.17315898485849,4.50380426229863,5.36114862380822,"2009",12,1.74,83.2,5.4,0,83.8,0,1.6,0.16,0.4,14,127,12.5833333333333,1455.40897204825
"33","WmB5",1812,"36.2",102,"WM","N","1500","36.17",9.88214001681699,10.4270248091503,-0.724312250448113,0.40825600254717,3.72168006980274,4.60790429682192,"2009",11,1.93,92.4,4,0,89.5,0,0,0.31,0,14,104,12.3846153846154,1429.7303884223
"34","H1",818,"2",15,"H","W","500","84.67",14.2468816044314,14.0887910660131,3.20312195025943,4.13085488948113,7.83242394228219,8.30500347854795,"2019",19,2.10416666666667,93.1111111111111,2.5,0.4,77,0,0.5,0.223,0.11,27,53,22.3777777777778,1071.21802930216
"35","H2",985,"26.2",44,"H","W","500","81.84",13.6632264934248,13.6624760908497,2.75179097074528,3.71110171033019,7.32562558710137,7.88249973832877,"2019",25,3.046875,71,20.3,0.5,71.7,0,0.1,0.1775,0.06,45.1666666666667,82,29.4745762711864,1052.67194946231
"36","H3",1106,"27.6",33,"H","W","1000","73.85",13.1602506827386,13.2834442048366,2.34620307209434,3.3346099990566,6.87921481025479,7.50494324147945,"2019",21,2.675,92.2,6.1,0,73.7,0,8.5,0.1475,0,23.5714285714286,70,23.5531914893617,1244.32464386669
"37","H4",1326,"13",65,"H","W","1000","89.80",12.2645261216797,12.5705616732026,1.57691454103774,2.61667773028302,6.05692706662192,6.78912771183562,"2019",28,4.0125,91.4,3.5,0.1,80.7,0,0.5,0.2585,0.1,36.6428571428571,85,32.7142857142857,1294.96586922051
"38","H5",1580,"21.4",58,"H","N","1500","95.41",11.1348448317974,11.596511672549,0.52456739320283,1.61967516146226,4.97216314143562,5.80174635652055,"2019",24,6.60625,86,4,0,68.8,0,0,0.1395,0,60,112,30.1395348837209,1378.57866186456
"39","H6",1807,"27.3",98,"H","N","1500","45.57",9.83592887153595,10.3823055555556,-0.771621323872641,0.361727963584906,3.67483122379178,4.5621344610411,"2019",14,1.7125,75.4,7.2,0,72.1,0.4,1.8,0.151,0.1,18,155,15.76,1594.57144389239
"40","H7",1986,"31.4",69,"H","N","1500","3.04",8.79615626579739,9.35142271568627,-1.85294524065566,-0.713647021698113,2.61092470588493,3.50540960794521,"2019",9,1.55625,82.7,5.5,0,79.5,0.2,0,0.1545,0,9.25,45,9.25806451612903,1526.75978799228
"41","HO1",828,"20.6",51,"HO","W","500","82.59",14.2148617734902,14.0656358973856,3.1787746465,4.10812935216981,7.80486048329315,8.28209784920548,"2019",15,1.421875,87.85,7.35,0,79.5,0,0,2.795,0,24,49,17.625,991.434511267154
"42","HO2",1046,"9.4",131,"HO","W","1000","91.96",13.4075309220261,13.4714821254902,2.54781460049057,3.52183139193396,7.09996966129863,7.69250690490411,"2019",16,3.80208333333333,99.3,0.6,0,91.4,0,0,0.3025,0,24.1666666666667,64,19.5,1138.95670591337
"43","HO3",1332,"8.4",82,"HO","W","1000","71.61",12.2424931519085,12.5523637078431,1.55722307285849,2.59819702661321,6.03625409229589,6.77076552586849,"2019",23,12.10625,99.1,0.5,0,96.1,0,0,0.4175,0,29.4,121,26.5744680851064,1304.3882114464
"44","HO4",1546,"26.7",120,"HO","N","1500","31.93",11.2806465750261,11.7267922454248,0.664897928316038,1.75380954026887,5.11478708707397,5.93426530434794,"2019",17,2.9625,89.4,3.4,0,84.6,0,0,0.2975,0,27,171,18.4285714285714,1438.28850323784
"45","HO5",1821,"22.3",53,"HO","W","1500","0.61",9.74297867659477,10.2920497709804,-0.866998891490566,0.26778688429717,3.58047115759726,4.46973817652329,"2019",10,1.95,68.6,2.2,0.3,54.5,1.5,0,0.0785,0,12.25,43,10.9642857142857,1511.24394602803
"46","T1",716,"27.3",9,"T","M","500","30.18",14.6558166495098,14.3833297981046,3.51145723204245,4.4194888115566,8.18292843991233,8.59611256756164,"2019",16,7.9375,82,5.3,0,79.8,0,0,0.6375,0,31,103,18.1538461538462,863.654114363715
"47","T3",663,"27.6",31,"T","M","500","50.40",14.802892207268,14.4889472247059,3.62166055464623,4.52287435806604,8.30858779533425,8.70043366928767,"2019",13,2.08854166666667,NA,NA,NA,NA,NA,NA,NA,NA,13.75,54,13.972972972973,878.565332238956
"48","T4",644,"22.8",46,"T","M","500","53.28",14.9148871284641,14.5693530751634,3.70553390155189,4.6015736034434,8.40424908981918,8.77984828610959,"2019",15,1.88541666666667,80.5,6.9,0,74.1,0,0,0.4475,0,21,74,17.6896551724138,832.885775929536
"49","T5",749,"15",62,"T","M","500","78.06",14.4802440463137,14.257093069281,3.37956100954245,4.29586314245283,8.03272403591507,8.47139239945206,"2019",10,4.81770833333333,98.1,1.9,0,96.8,0,0,0.4475,0,22.5,40,13.2142857142857,804.321283567776
"50","W1",815,"6.7",66,"W","N","500","60.46",14.2610952714052,14.0990650267974,3.21391771800943,4.14093531283019,7.84465241847397,8.31516502854794,"2019",17,1.30208333333333,87.6,0,0,50,11.9,0.3,0.1275,0.07,23.125,48,19.9024390243902,1169.383961476
"51","W2",1016,"25.8",45,"W","N","1000","51.07",13.5999163579608,13.6154827039216,2.70168929686792,3.66461258580189,7.2699872156274,7.83579923805479,"2019",25,1.22916666666667,72.3,0.4,0,55.5,21.4,4.2,0.4275,0.21,33.3333333333333,92,29.4230769230769,1115.31712777277
"52","W3",1162,"7.7",106,"W","N","1000","66.73",12.9538676674706,13.1237308098039,2.1744433526934,3.17487472872642,6.69294176409315,7.34521714079452,"2019",26,4.425,99.8,0.2,0,59,0,0,0.156,0,39.5,133,30.0754716981132,1115.35568955446
"53","W4",1235,"6.9",110,"W","N","1000","61.30",12.6547225990523,12.8874924607843,1.9196308013066,2.9373892159434,6.41954599323836,7.10825441172603,"2019",13,0.4625,77.8,0.666666666666667,0,54,26.7,8.3,0.155,5.515,17.1666666666667,54,15.8947368421053,1250.80246427252
"54","W5",1446,"15.2",89,"W","N","1000","43.74",11.7127006363595,12.105069069281,1.07330689575,2.14203110150943,5.53310755962192,6.31831824964384,"2019",11,0.83125,69.8,4.11111111111111,0,59.8,20.2,7.4,0.1435,1.04,13.25,84,12.4117647058824,1399.14259609512
"55","W6",1805,"28.9",15,"W","N","1500","41.48",9.90517890679085,10.4492810509804,-0.700753623245283,0.431408591556604,3.74502083455068,4.63068115673973,"2019",19,1.2,88,3.7,0,86.7,0,0.2,0.2075,0.08,35,131,24.0909090909091,1416.17735448105
"56","W7",2017,"16",15,"W","N","1500","22.33",8.56473907669935,9.11616304705882,-2.09725335633019,-0.959668911132075,2.37202018409041,3.26389900558904,"2019",19,1.2625,85.5,3.7,0,82.4,0,0,0.158,0,69,85,24,1605.83711320087
"57","WmA1",768,"16",92,"WM","W","500","87.23",14.3921153290196,14.1936185424837,3.31311501653302,4.23366200075472,7.95718912012329,8.40865748263014,"2019",16,5.6625,91,3.3,0.15,79,0,0,0.2225,0,24.1666666666667,40,19.3939393939394,933.830978503238
"58","WmA2",1240,"12.7",87,"WM","W","1000","91.62",12.6505423577843,12.884150127451,1.91602061721226,2.93401920792453,6.41569685367123,7.10489600432877,"2019",14,1.77083333333333,89.9,9.2,0.5,83,0,0,0.123,0,15.3333333333333,31,16.0740740740741,1295.81149243316
"59","WmA3",1423,"17.6",124,"WM","W","1000","91.14",11.7879674488301,12.1697458385621,1.14324164426887,2.20820067542453,5.60527739248219,6.38386207257534,"2019",12,1.75,88.3,6.7,0,82.3,0,0,0.2325,0,18,26,15.6,1466.92673894665
"60","WmA4",1770,"30.8",113,"WM","N","1500","72.53",9.99117483628105,10.532130430719,-0.61298385404717,0.517564838754717,3.83204704902192,4.71545123757808,"2019",6,1.5625,89.8,4.8,0,87.6,0,0,0.255,0,6,72,6,1518.1938249529
"61","WmA5",2034,"30.1",50,"WM","N","1500","6.72",8.45116022107189,9.00000418562091,-2.2175495842783,-1.08120821556604,2.25453973138904,3.14461506493151,"2019",10,1.16875,71.1,0.2,0,71.1,10.9,0,0.0645,0,14,44,11.7142857142857,1583.26910708681
"62","WmB1",962,"11.9",78,"WM","W","500","88.95",13.7150806529477,13.7008317235294,2.79263881201887,3.74900951081132,7.37108703575069,7.92059526025206,"2019",15,3.15625,94.2,2.5,0.3,86.9,2.2,0,0.2625,0,21.125,30,19.5652173913043,1125.57775214852
"63","WmB2",1139,"14.9",124,"WM","W","1000","87.16",13.0457982712941,13.1951955431373,2.25135301961792,3.24643127924528,6.77614787853973,7.41673520356164,"2019",16,4.51041666666667,96.3,2.1,0,79.7,0,0,0.24,0.6,22.25,59,17.875,1056.17345369842
"64","WmB3",1418,"11.3",30,"WM","W","1000","86.94",11.8578787446144,12.2294873300654,1.20785861983019,2.26926295099057,5.6721136310411,6.44437070441096,"2019",12,4.5875,90.3,5,0.2,80.7,0,0,3.2885,0,18.25,30,14.4,1247.29462034515
"65","WmB4",1654,"20",105,"WM","W","1500","61.35",10.6607349028431,11.1641146594771,0.0603590358679245,1.17315898485849,4.50380426229863,5.36114862380822,"2019",14,1.0625,74,11.4,0,69.8,0,4,0.19,0.62,54.5,46,19.0869565217391,1455.72995253605
"66","WmB5",1812,"36.2",102,"WM","W","1500","36.17",9.88214001681699,10.4270248091503,-0.724312250448113,0.40825600254717,3.72168006980274,4.60790429682192,"2019",13,1.56875,91.5,4,0,89.5,0,0,0.285,0,25.5,122,15.25,1515.08110461749
