;plot;elev;temps09;temps19;tempy09;tempy19;year;spec.no;flow_cov;ab;ACE;comsc
1;H1;818;14.2468816;14.08879107;7.832423942;8.305003479;2009;25;1.61;125;30.775;1146.817506
2;H2;985;13.66322649;13.66247609;7.325625587;7.882499738;2009;27;4.02;169;29.18181818;1077.566408
3;H3;1106;13.16025068;13.2834442;6.87921481;7.504943241;2009;17;2.42;81;22;1278.301372
4;H4;1326;12.26452612;12.57056167;6.056927067;6.789127712;2009;23;2.22;175;25.07692308;1369.760836
5;H5;1580;11.13484483;11.59651167;4.972163141;5.801746357;2009;14;4.39;304;14.66666667;1448.944457
6;H6;1807;9.835928872;10.38230556;3.674831224;4.562134461;2009;14;1.17;229;15.5;1494.820245
7;H7;1986;8.796156266;9.351422716;2.610924706;3.505409608;2009;10;1.02;100;10.21621622;1561.896526
8;HO1;828;14.21486177;14.0656359;7.804860483;8.282097849;2009;28;4.07;98;32.01351351;1013.228862
9;HO2;1046;13.40753092;13.47148213;7.099969661;7.692506905;2009;12;1.73;65;13.03846154;1323.990008
10;HO3;1332;12.24249315;12.55236371;6.036254092;6.770765526;2009;19;2.8;158;20.33333333;1375.749214
11;HO4;1546;11.28064658;11.72679225;5.114787087;5.934265304;2009;17;2.14;214;17.76595745;1453.90109
12;HO5;1821;9.742978677;10.29204977;3.580471158;4.469738177;2009;9;1.09;39;12.11111111;1461.868307
13;T1;716;14.65581665;14.3833298;8.18292844;8.596112568;2009;15;10.44;112;15.22807018;1041.330062
14;T3;663;14.80289221;14.48894722;8.308587795;8.700433669;2009;22;2.08;119;23.26666667;911.7669815
15;T4;644;14.91488713;14.56935308;8.40424909;8.779848286;2009;21;2.87;153;21.86363636;976.6524806
16;T5;749;14.48024405;14.25709307;8.032724036;8.471392399;2009;21;1.68;164;23.73913043;936.4704586
17;W1;815;14.26109527;14.09906503;7.844652418;8.315165029;2009;16;0.77;164;18;1295.775377
18;W2;1016;13.59991636;13.6154827;7.269987216;7.835799238;2009;27;1.19;220;31;1217.343981
19;W3;1162;12.95386767;13.12373081;6.692941764;7.345217141;2009;15;2.27;127;17;1296.191189
20;W4;1235;12.6547226;12.88749246;6.419545993;7.108254412;2009;10;0.84;94;11.84615385;1361.853568
21;W5;1446;11.71270064;12.10506907;5.53310756;6.31831825;2009;12;0.57;91;12.5;1441.113534
22;W6;1805;9.905178907;10.44928105;3.745020835;4.630681157;2009;20;1.62;241;20.82352941;1462.229896
23;W7;2017;8.564739077;9.116163047;2.372020184;3.263899006;2009;16;0.74;168;18.30769231;1544.802498
24;WmA1;768;14.39211533;14.19361854;7.95718912;8.408657483;2009;20;2.2;105;21.77777778;1032.897377
25;WmA2;1240;12.65054236;12.88415013;6.415696854;7.104896004;2009;19;2.33;136;20.66666667;1325.473128
26;WmA3;1423;11.78796745;12.16974584;5.605277392;6.383862073;2009;17;1.93;206;20.75;1471.504329
27;WmA4;1770;9.991174836;10.53213043;3.832047049;4.715451238;2009;12;1.09;170;12.24242424;1521.446461
28;WmA5;2034;8.451160221;9.000004186;2.254539731;3.144615065;2009;5;0.41;47;5;1420.664535
29;WmB1;962;13.71508065;13.70083172;7.371087036;7.92059526;2009;19;1.98;104;21.5;1145.919316
30;WmB2;1139;13.04579827;13.19519554;6.776147879;7.416735204;2009;16;2.1;106;17.37142857;1179.266122
31;WmB3;1418;11.85787874;12.22948733;5.672113631;6.444370704;2009;9;2.32;79;9.179487179;1390.810299
32;WmB4;1654;10.6607349;11.16411466;4.503804262;5.361148624;2009;12;1.74;127;12.58333333;1455.408972
33;WmB5;1812;9.882140017;10.42702481;3.72168007;4.607904297;2009;11;1.93;104;12.38461538;1429.730388
34;H1;818;14.2468816;14.08879107;7.832423942;8.305003479;2019;19;2.104166667;53;22.37777778;1071.218029
35;H2;985;13.66322649;13.66247609;7.325625587;7.882499738;2019;25;3.046875;82;29.47457627;1052.671949
36;H3;1106;13.16025068;13.2834442;6.87921481;7.504943241;2019;21;2.675;70;23.55319149;1244.324644
37;H4;1326;12.26452612;12.57056167;6.056927067;6.789127712;2019;28;4.0125;85;32.71428571;1294.965869
38;H5;1580;11.13484483;11.59651167;4.972163141;5.801746357;2019;24;6.60625;112;30.13953488;1378.578662
39;H6;1807;9.835928872;10.38230556;3.674831224;4.562134461;2019;14;1.7125;155;15.76;1594.571444
40;H7;1986;8.796156266;9.351422716;2.610924706;3.505409608;2019;9;1.55625;45;9.258064516;1526.759788
41;HO1;828;14.21486177;14.0656359;7.804860483;8.282097849;2019;15;1.421875;49;17.625;991.4345113
42;HO2;1046;13.40753092;13.47148213;7.099969661;7.692506905;2019;16;3.802083333;64;19.5;1138.956706
43;HO3;1332;12.24249315;12.55236371;6.036254092;6.770765526;2019;23;12.10625;121;26.57446809;1304.388211
44;HO4;1546;11.28064658;11.72679225;5.114787087;5.934265304;2019;17;2.9625;171;18.42857143;1438.288503
45;HO5;1821;9.742978677;10.29204977;3.580471158;4.469738177;2019;10;1.95;43;10.96428571;1511.243946
46;T1;716;14.65581665;14.3833298;8.18292844;8.596112568;2019;16;7.9375;103;18.15384615;863.6541144
47;T3;663;14.80289221;14.48894722;8.308587795;8.700433669;2019;13;2.088541667;54;13.97297297;878.5653322
48;T4;644;14.91488713;14.56935308;8.40424909;8.779848286;2019;15;1.885416667;74;17.68965517;832.8857759
49;T5;749;14.48024405;14.25709307;8.032724036;8.471392399;2019;10;4.817708333;40;13.21428571;804.3212836
50;W1;815;14.26109527;14.09906503;7.844652418;8.315165029;2019;17;1.302083333;48;19.90243902;1169.383961
51;W2;1016;13.59991636;13.6154827;7.269987216;7.835799238;2019;25;1.229166667;92;29.42307692;1115.317128
52;W3;1162;12.95386767;13.12373081;6.692941764;7.345217141;2019;26;4.425;133;30.0754717;1115.35569
53;W4;1235;12.6547226;12.88749246;6.419545993;7.108254412;2019;13;0.4625;54;15.89473684;1250.802464
54;W5;1446;11.71270064;12.10506907;5.53310756;6.31831825;2019;11;0.83125;84;12.41176471;1399.142596
55;W6;1805;9.905178907;10.44928105;3.745020835;4.630681157;2019;19;1.2;131;24.09090909;1416.177354
56;W7;2017;8.564739077;9.116163047;2.372020184;3.263899006;2019;19;1.2625;85;24;1605.837113
57;WmA1;768;14.39211533;14.19361854;7.95718912;8.408657483;2019;16;5.6625;40;19.39393939;933.8309785
58;WmA2;1240;12.65054236;12.88415013;6.415696854;7.104896004;2019;14;1.770833333;31;16.07407407;1295.811492
59;WmA3;1423;11.78796745;12.16974584;5.605277392;6.383862073;2019;12;1.75;26;15.6;1466.926739
60;WmA4;1770;9.991174836;10.53213043;3.832047049;4.715451238;2019;6;1.5625;72;6;1518.193825
61;WmA5;2034;8.451160221;9.000004186;2.254539731;3.144615065;2019;10;1.16875;44;11.71428571;1583.269107
62;WmB1;962;13.71508065;13.70083172;7.371087036;7.92059526;2019;15;3.15625;30;19.56521739;1125.577752
63;WmB2;1139;13.04579827;13.19519554;6.776147879;7.416735204;2019;16;4.510416667;59;17.875;1056.173454
64;WmB3;1418;11.85787874;12.22948733;5.672113631;6.444370704;2019;12;4.5875;30;14.4;1247.29462
65;WmB4;1654;10.6607349;11.16411466;4.503804262;5.361148624;2019;14;1.0625;46;19.08695652;1455.729953
66;WmB5;1812;9.882140017;10.42702481;3.72168007;4.607904297;2019;13;1.56875;122;15.25;1515.081105
